epoch,train_loss,val_loss,val_acc,lr,improved
1,0.8097621154785156,0.48136611921446665,0.8546444481108728,0.0002,True
2,0.4181784689426422,0.3465234083788736,0.8533245339052962,0.00036,True
3,0.3458847451210022,0.30991798426423756,0.8445801022933509,0.0005200000000000001,True
4,0.32263779401779175,0.3023076057434082,0.8361656492327999,0.00068,True
5,0.30618780851364136,0.30039706400462557,0.8284111532750371,0.0008400000000000001,True
6,0.3059260714054108,0.3038718444960458,0.822141560798548,0.001,False
7,0.3003466522693634,0.29785122190202984,0.8267612605180663,0.0009997293623837584,True
8,0.2932867991924286,0.29283692581313,0.8378155419897707,0.0009989177454732933,True
9,0.29105192482471465,0.3032079679625375,0.8208216465929714,0.0009975660367597806,False
10,0.2919138383865356,0.29927571543625425,0.828081174723643,0.0009956757143168527,False
11,0.290559446811676,0.29364247620105743,0.8307210031347962,0.0009932488451843476,False
12,0.2900921332836151,0.2965622672012874,0.8256063355881867,0.0009902880831080306,False
13,0.28595662653446197,0.28533283514635904,0.8401253918495298,0.0009867966656377629,True
14,0.2836680924892426,0.28290787764957975,0.8459000164989275,0.0009827784105872874,True
15,0.28124521136283875,0.2821969304765974,0.8478798878072925,0.0009782377118595067,True
16,0.2816938292980194,0.287393827523504,0.8378155419897707,0.0009731795346418138,False
17,0.27826626658439635,0.28578612208366394,0.8586041907276027,0.0009676094099767329,False
18,0.27905807793140414,0.2999236711433956,0.8409503382280151,0.0009615334287138053,False
19,0.2776198309659958,0.29150902160576414,0.8368256063355882,0.0009549582348493353,False
20,0.27652025580406187,0.2848644107580185,0.8417752846065005,0.0009478910182612778,False
21,0.2745049297809601,0.28408672767026083,0.844745091569048,0.0009403395068472119,False
22,0.27104660153388976,0.30338077885763987,0.8289061211021284,0.0009323119580739988,False
23,0.27548915445804595,0.2805441937276295,0.8579442336248144,0.0009238171499483627,True
24,0.27397102892398834,0.285308484520231,0.8478798878072925,0.0009148643714182697,False
25,0.27053407073020935,0.2867927295821054,0.8520046196997195,0.0009054634122155987,False
26,0.2758471763134003,0.28422355013234274,0.8579442336248144,0.0008956245521512145,False
27,0.27405194342136385,0.2920615140880857,0.8463949843260188,0.000885358549874145,False
28,0.2744379025697708,0.3001485254083361,0.8356706814057087,0.0008746766311071559,False
29,0.2660977637767792,0.2916502697127206,0.8393004454710444,0.0008635904763715888,False
30,0.2628401339054108,0.2975609962429319,0.8340207886487379,0.0008521122082148815,False
31,0.2654224246740341,0.2918263460908617,0.8434251773634713,0.0008402543779547415,False
32,0.2580084478855133,0.2859565722090857,0.8490348127371721,0.0008280299519544632,False
33,0.25845335483551024,0.28780301979609896,0.8465599736017159,0.0008154522974444005,False
